"fld_dim","sim","fit_model","job"
200,93,"MGCV FIXED",771
300,93,"MGCV FIXED",772
50,94,"MGCV FIXED",773
100,94,"MGCV FIXED",774
200,94,"MGCV FIXED",775
300,94,"MGCV FIXED",776
50,95,"MGCV FIXED",777
100,95,"MGCV FIXED",778
200,95,"MGCV FIXED",779
300,95,"MGCV FIXED",780
50,96,"MGCV FIXED",781
100,96,"MGCV FIXED",782
200,96,"MGCV FIXED",783
300,96,"MGCV FIXED",784
50,97,"MGCV FIXED",785
100,97,"MGCV FIXED",786
200,97,"MGCV FIXED",787
300,97,"MGCV FIXED",788
50,98,"MGCV FIXED",789
100,98,"MGCV FIXED",790
200,98,"MGCV FIXED",791
300,98,"MGCV FIXED",792
50,99,"MGCV FIXED",793
100,99,"MGCV FIXED",794
200,99,"MGCV FIXED",795
300,99,"MGCV FIXED",796
50,100,"MGCV FIXED",797
100,100,"MGCV FIXED",798
200,100,"MGCV FIXED",799
300,100,"MGCV FIXED",800
50,1,"SCAMPR",801
100,1,"SCAMPR",802
200,1,"SCAMPR",803
300,1,"SCAMPR",804
50,2,"SCAMPR",805
100,2,"SCAMPR",806
200,2,"SCAMPR",807
300,2,"SCAMPR",808
50,3,"SCAMPR",809
100,3,"SCAMPR",810
200,3,"SCAMPR",811
300,3,"SCAMPR",812
50,4,"SCAMPR",813
100,4,"SCAMPR",814
200,4,"SCAMPR",815
300,4,"SCAMPR",816
50,5,"SCAMPR",817
100,5,"SCAMPR",818
200,5,"SCAMPR",819
300,5,"SCAMPR",820
50,6,"SCAMPR",821
100,6,"SCAMPR",822
200,6,"SCAMPR",823
300,6,"SCAMPR",824
50,7,"SCAMPR",825
100,7,"SCAMPR",826
200,7,"SCAMPR",827
300,7,"SCAMPR",828
50,8,"SCAMPR",829
100,8,"SCAMPR",830
200,8,"SCAMPR",831
300,8,"SCAMPR",832
50,9,"SCAMPR",833
100,9,"SCAMPR",834
200,9,"SCAMPR",835
300,9,"SCAMPR",836
50,10,"SCAMPR",837
100,10,"SCAMPR",838
200,10,"SCAMPR",839
300,10,"SCAMPR",840
50,11,"SCAMPR",841
100,11,"SCAMPR",842
200,11,"SCAMPR",843
300,11,"SCAMPR",844
50,12,"SCAMPR",845
100,12,"SCAMPR",846
200,12,"SCAMPR",847
300,12,"SCAMPR",848
50,13,"SCAMPR",849
100,13,"SCAMPR",850
200,13,"SCAMPR",851
300,13,"SCAMPR",852
50,14,"SCAMPR",853
100,14,"SCAMPR",854
200,14,"SCAMPR",855
300,14,"SCAMPR",856
50,15,"SCAMPR",857
100,15,"SCAMPR",858
200,15,"SCAMPR",859
300,15,"SCAMPR",860
50,16,"SCAMPR",861
100,16,"SCAMPR",862
200,16,"SCAMPR",863
300,16,"SCAMPR",864
50,17,"SCAMPR",865
100,17,"SCAMPR",866
200,17,"SCAMPR",867
300,17,"SCAMPR",868
50,18,"SCAMPR",869
100,18,"SCAMPR",870
200,18,"SCAMPR",871
300,18,"SCAMPR",872
50,19,"SCAMPR",873
100,19,"SCAMPR",874
200,19,"SCAMPR",875
300,19,"SCAMPR",876
50,20,"SCAMPR",877
100,20,"SCAMPR",878
200,20,"SCAMPR",879
300,20,"SCAMPR",880
50,21,"SCAMPR",881
100,21,"SCAMPR",882
200,21,"SCAMPR",883
300,21,"SCAMPR",884
50,22,"SCAMPR",885
100,22,"SCAMPR",886
200,22,"SCAMPR",887
300,22,"SCAMPR",888
50,23,"SCAMPR",889
100,23,"SCAMPR",890
200,23,"SCAMPR",891
300,23,"SCAMPR",892
50,24,"SCAMPR",893
100,24,"SCAMPR",894
200,24,"SCAMPR",895
300,24,"SCAMPR",896
50,25,"SCAMPR",897
100,25,"SCAMPR",898
200,25,"SCAMPR",899
300,25,"SCAMPR",900
50,26,"SCAMPR",901
100,26,"SCAMPR",902
200,26,"SCAMPR",903
300,26,"SCAMPR",904
50,27,"SCAMPR",905
100,27,"SCAMPR",906
200,27,"SCAMPR",907
300,27,"SCAMPR",908
50,28,"SCAMPR",909
100,28,"SCAMPR",910
200,28,"SCAMPR",911
300,28,"SCAMPR",912
50,29,"SCAMPR",913
100,29,"SCAMPR",914
200,29,"SCAMPR",915
300,29,"SCAMPR",916
50,30,"SCAMPR",917
100,30,"SCAMPR",918
200,30,"SCAMPR",919
300,30,"SCAMPR",920
50,31,"SCAMPR",921
100,31,"SCAMPR",922
200,31,"SCAMPR",923
300,31,"SCAMPR",924
50,32,"SCAMPR",925
100,32,"SCAMPR",926
200,32,"SCAMPR",927
300,32,"SCAMPR",928
50,33,"SCAMPR",929
100,33,"SCAMPR",930
200,33,"SCAMPR",931
300,33,"SCAMPR",932
50,34,"SCAMPR",933
100,34,"SCAMPR",934
200,34,"SCAMPR",935
300,34,"SCAMPR",936
50,35,"SCAMPR",937
100,35,"SCAMPR",938
200,35,"SCAMPR",939
300,35,"SCAMPR",940
50,36,"SCAMPR",941
100,36,"SCAMPR",942
200,36,"SCAMPR",943
300,36,"SCAMPR",944
50,37,"SCAMPR",945
100,37,"SCAMPR",946
200,37,"SCAMPR",947
300,37,"SCAMPR",948
50,38,"SCAMPR",949
100,38,"SCAMPR",950
200,38,"SCAMPR",951
300,38,"SCAMPR",952
50,39,"SCAMPR",953
100,39,"SCAMPR",954
200,39,"SCAMPR",955
300,39,"SCAMPR",956
50,40,"SCAMPR",957
100,40,"SCAMPR",958
200,40,"SCAMPR",959
300,40,"SCAMPR",960
50,41,"SCAMPR",961
100,41,"SCAMPR",962
200,41,"SCAMPR",963
300,41,"SCAMPR",964
50,42,"SCAMPR",965
100,42,"SCAMPR",966
200,42,"SCAMPR",967
300,42,"SCAMPR",968
50,43,"SCAMPR",969
100,43,"SCAMPR",970
200,43,"SCAMPR",971
300,43,"SCAMPR",972
50,44,"SCAMPR",973
100,44,"SCAMPR",974
200,44,"SCAMPR",975
300,44,"SCAMPR",976
50,45,"SCAMPR",977
100,45,"SCAMPR",978
200,45,"SCAMPR",979
300,45,"SCAMPR",980
50,46,"SCAMPR",981
100,46,"SCAMPR",982
200,46,"SCAMPR",983
300,46,"SCAMPR",984
50,47,"SCAMPR",985
100,47,"SCAMPR",986
200,47,"SCAMPR",987
300,47,"SCAMPR",988
50,48,"SCAMPR",989
100,48,"SCAMPR",990
200,48,"SCAMPR",991
